batsman,total_runs,balls_faced,strike_rate,fours,sixes,player_type,bowler,balls_bowled,runs_conceded,wickets,economy,allrounder_score
SB Joshi,6,14,42.8571,0,0,Anchor,SB Joshi,55,82,55,8.9455,0.9860032078924394
JDP Oram,106,108,98.1481,6,5,Anchor,JDP Oram,238,362,244,9.1261,5.246980058514171
K Goel,218,231,94.3723,17,9,Anchor,K Goel,66,94,67,8.5455,3.5174340509160977
JR Hopes,417,306,136.2745,49,11,Anchor,JR Hopes,360,562,369,9.3667,10.757065705299379
D Salunkhe,33,24,137.5,5,0,Anchor,D Salunkhe,48,80,51,10.0,1.215924970273589
SK Warne,198,214,92.5234,14,6,Anchor,SK Warne,1194,1465,1223,7.3618,22.63512827597409
SK Trivedi,42,59,71.1864,3,1,Anchor,SK Trivedi,1515,1944,1557,7.699,26.50724159208214
V Sehwag,2728,1755,155.4416,334,106,Aggressive,V Sehwag,137,236,138,10.3358,32.299669294596164
ST Jayasuriya,768,532,144.3609,84,39,Aggressive,ST Jayasuriya,294,396,301,8.0816,13.478400573430635
DJ Thornely,39,53,73.5849,2,2,Anchor,DJ Thornely,42,40,44,5.7143,1.164792012224242
AM Nayar,672,577,116.4645,55,20,Anchor,AM Nayar,229,323,239,8.4629,11.385855436512596
SM Pollock,147,111,132.4324,12,8,Anchor,SM Pollock,276,307,280,6.6739,6.299935736221908
LRPL Taylor,1017,822,123.7226,66,46,Anchor,LRPL Taylor,12,24,13,12.0,11.398202821073928
AC Gilchrist,2069,1495,138.3946,239,92,Anchor,AC Gilchrist,1,0,1,0.0,22.76299009590427
Y Venugopal Rao,985,836,117.823,77,37,Anchor,Y Venugopal Rao,216,338,222,9.3889,14.54255239013292
A Symonds,974,750,129.8667,74,41,Anchor,A Symonds,528,694,540,7.8864,19.741124963329334
SB Styris,131,133,98.4962,10,3,Anchor,SB Styris,216,278,222,7.7222,5.153810085823334
SB Bangar,49,58,84.4828,1,3,Anchor,SB Bangar,150,221,153,8.84,3.0980827384373018
WPUJC Vaas,81,73,110.9589,2,3,Anchor,WPUJC Vaas,284,364,288,7.6901,5.708166090087577
RP Singh,52,76,68.4211,2,1,Anchor,RP Singh,1788,2417,1874,8.1107,31.919956875003127
LR Shukla,405,350,115.7143,33,16,Anchor,LR Shukla,316,458,326,8.6962,9.905835468838688
B Lee,124,97,127.8351,8,8,Anchor,B Lee,888,1126,916,7.6081,16.686087039167067
